id,order_id,user_id,product_id,rating,title,body,verified_purchase,helpful_votes,flagged,reviewed_at,updated_at
1,764,184,190,3,It's ok,Does the job but feels a bit cheap.,True,0,False,2025-06-10 23:57:19,
2,222,302,288,5,Highly recommend,Really impressed by the build quality. Will buy again.,True,0,False,2022-08-06 13:15:53,
3,1316,211,254,5,Best purchase ever,Really impressed by the build quality. Will buy again.,True,6,True,2024-10-04 08:14:41,
4,118,391,118,5,Best purchase ever,Fantastic. Does exactly what it says on the tin.,True,15,False,2022-08-04 07:59:21,
5,1643,297,32,5,Fantastic quality,Really impressed by the build quality. Will buy again.,True,0,False,2024-11-17 15:27:28,
6,1807,464,111,5,Best purchase ever,My whole family loves it. Worth every penny.,True,0,False,2025-09-26 05:11:20,
7,1623,382,217,4,Mostly great,Works as described. Happy with the purchase.,True,3,False,2025-09-21 16:05:26,
8,1583,183,289,5,Exceeded expectations,My whole family loves it. Worth every penny.,True,0,False,2024-06-09 18:14:53,
9,1711,318,462,5,Highly recommend,Fantastic. Does exactly what it says on the tin.,True,3,False,2024-06-28 03:29:18,
10,1090,235,188,4,Solid product,Works as described. Happy with the purchase.,True,4,False,2025-07-22 03:46:16,
11,83,214,429,5,Superb,"Fast delivery, great packaging, excellent product.",True,7,False,2024-09-10 22:52:20,
12,284,70,462,5,Exceeded expectations,Really impressed by the build quality. Will buy again.,True,0,False,2025-07-20 12:07:58,
13,112,267,459,5,Highly recommend,"Fast delivery, great packaging, excellent product.",True,0,False,2025-01-29 18:36:13,
14,1145,274,379,5,Best purchase ever,Fantastic. Does exactly what it says on the tin.,True,4,False,2026-01-08 15:32:00,
15,1155,336,48,4,Great value,Works as described. Happy with the purchase.,True,1,False,2025-11-27 17:34:11,
16,1732,88,380,5,Superb,My whole family loves it. Worth every penny.,True,15,False,2025-10-11 15:01:25,
17,625,116,55,1,Terrible experience,Completely different from the description.,True,2,False,2025-03-24 05:37:12,
18,1871,38,419,4,Good buy,Works as described. Happy with the purchase.,True,2,False,2024-09-28 01:01:40,
